axis_key,display_name,axis_type,role_families,locale,synonyms,definition,not_definition,rubric_anchor_0,rubric_anchor_5,rubric_anchor_8,rubric_anchor_10,evidence_types,assessment_options,version,status,typical_roles
thermodynamics,Thermodynamics,hard_skill,engineering,en,heat|energy|entropy|fluids,Ability to apply thermodynamics to analyze energy transfer and system efficiency.,Not just knowing definitions without solving real problems.,Cannot solve basic thermo problems,Solves standard energy/heat transfer tasks,Handles complex systems; validates assumptions,Expert modeling; optimizes thermal systems,academic|assessments|portfolio,thermo_quiz,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
simulation,Simulation,hard_skill,engineering,en,modeling|analysis|emulation|virtualization,"Ability to simulate systems (e.g., FEA/CFD) to predict behavior and inform design decisions.",Not running software without understanding boundary conditions or interpreting results.,Misuses tools; invalid setups,Runs basic simulations and interprets output,Validates models; performs sensitivity checks,Expert; builds simulation workflows and standards,portfolio|academic|assessments|work,simulation_setup_case,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
matlab,MATLAB,hard_skill,engineering,en,simulink|computation|toolboxes|scripting,"Ability to use MATLAB/Simulink for numerical analysis, modeling, and prototyping algorithms.",Not general math ability without MATLAB competence.,No usable MATLAB scripts,Writes scripts for common analysis tasks,Builds models; uses toolboxes effectively,Expert; builds reusable tooling and models,portfolio|assessments|academic,matlab_coding_test,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
tolerancing,Tolerancing,hard_skill,engineering,en,dimensioning|clearance|fit|precision,Ability to specify and interpret tolerances to ensure assemblies function and can be manufactured.,Not over-tight tolerances that increase cost without benefit.,Drawings missing critical tolerances,Applies GD&T basics and fit/clearance,Optimizes tolerances for cost and function,Expert; sets drawing and GD&T standards,portfolio|academic|work|assessments,gdt_quiz,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
validation,Validation,hard_skill,engineering,en,verification|qualification|acceptance|testing,Ability to plan and execute tests that confirm designs meet requirements and standards.,Not ad-hoc testing without traceability to requirements.,No test plan; unclear results,Executes tests with clear pass/fail criteria,Designs validation plans; analyzes failures,Leads qualification programs and documentation,work|portfolio|academic,test_plan_prompt,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
safety,Safety,constraint,engineering,en,hazard|prevention|protection|compliance,Ability to identify hazards and design processes and products to reduce risk and meet safety standards.,Not risk avoidance without analysis or ignoring standards.,Ignores hazards; unsafe practices,Follows safety rules; flags hazards,Performs risk assessments; mitigates hazards,Leads safety culture and compliance,academic|work|assessments,safety_scenario_quiz,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
quality,Quality,work_style,engineering,en,assurance|standards|inspection|control,"Ability to maintain quality through standards, inspections, and continuous improvement.",Not bureaucracy or rejecting work without constructive fixes.,Quality issues repeat,Uses checklists and basic QC,Finds systemic issues; improves process,Leads QMS; drives continuous improvement,work|portfolio|academic|social_proof,quality_case,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
maintenance,Maintenance,hard_skill,engineering,en,servicing|upkeep|repair|overhaul,Ability to maintain and troubleshoot equipment/systems to restore function and prevent failures.,Not only reactive repairs without preventive strategy.,Cannot diagnose common failures,Performs routine maintenance correctly,Improves uptime with preventive planning,Leads reliability maintenance programs,work|portfolio|academic,maintenance_troubleshoot_case,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
efficiency,Efficiency,work_style,engineering,en,productivity|performance|economy|optimization,"Ability to improve output or performance relative to time, cost, energy, or materials.",Not cutting corners that reduce safety or quality.,Wastes resources; no improvement mindset,Improves efficiency in typical tasks,Finds big levers; measures impact,Builds systems for ongoing efficiency gains,work|portfolio|academic|assessments,process_improvement_case,1,active,mechanical_engineering_intern|electrical_engineering_intern|manufacturing_intern|r&d_intern
professionalism,Professionalism,work_style,broad skills ,en,etiquette|conduct|polish|courtesy,"Consistent, respectful, workplace-appropriate behavior and communication.",Not “confidence” or “extroversion.”,Unprofessional interactions,Usually appropriate,Consistently polished,Role-model standard,work|social_proof,sjt|peerfeedback,1,active,intern|analyst|assistant
ownership,Ownership,work_style,broad skills ,en,responsibility|stewardship|ownership|commitment,Takes responsibility for outcomes and follows through without being chased.,Not “controlling” or “doing everything alone.”,Deflects responsibility,Owns assigned tasks,Owns outcomes,Owns outcomes proactively,work|portfolio|social_proof,worksample|reflection,1,active,intern|associate|coordinator
initiative,Initiative,work_style,broad skills ,en,proactivity|drive|spark|start,"Starts useful work, asks smart questions, and proposes next steps unprompted.",Not “impulsiveness” or “overstepping.”,Waits for instructions,Sometimes self-starting,Often self-starting,Anticipates needs,work|portfolio|social_proof,sjt|caseprompt,1,active,intern|analyst|developer
accountability,Accountability,soft_skill,broad skills ,en,answerability|ownership|reliability|integrity,"Owns mistakes, communicates status honestly, and closes loops.",Not “perfection” or “never failing.”,Hides problems,Admits issues late,Flags early + fixes,Prevents repeats,work|social_proof,reflection|peerfeedback,1,active,intern|assistant|associate
reliability,Reliability,work_style,broad skills ,en,consistency|dependability|steadiness|trustworthiness,"Delivers what was agreed, when it was agreed, at expected quality.",Not “speed at all costs.”,Misses commitments,Mixed follow-through,Consistently dependable,Trusted for critical tasks,work|academic|social_proof,timelog|peerfeedback,1,active,intern|analyst|assistant
punctuality,Punctuality,work_style,broad skills ,en,timeliness|promptness|on-time|readiness,Arrives on time and meets deadlines with predictable timing.,Not “working long hours.”,Frequently late,Usually on time,Rarely late,Always prepared early,work|academic|social_proof,timelog,1,active,intern|assistant|coordinator
coachability,Coachability,soft_skill,broad skills ,en,openness|teachable|receptive|improvable,Accepts feedback well and applies it quickly and visibly.,Not “agreeing with everything.”,Rejects feedback,"Listens, slow change",Applies feedback fast,Seeks + compounds feedback,work|social_proof|assessments,reflection|peerfeedback,1,active,intern|analyst|designer
curiosity,Curiosity,motivation,broad skills ,en,inquisitive|exploration|interest|wonder,Genuine drive to understand “why/how” and explore beyond the obvious.,Not “random distraction.”,Doesn’t ask why,Occasional probing,Regular deep questions,Connects insights across areas,academic|portfolio|work,caseprompt|reflection,1,active,intern|researcher|analyst
learning,Learning,motivation,broad skills ,en,growth|upskilling|improvement|mastery,Speed and effectiveness in acquiring new skills and applying them.,Not “years of experience.”,Avoids learning,Learns with guidance,Learns independently,Learns + teaches others,academic|portfolio|assessments,quiz|worksample,1,active,intern|developer|assistant
resilience,Resilience,soft_skill,broad skills ,en,grit|persistence|toughness|endurance,"Maintains performance through setbacks, stress, and ambiguity.",Not “ignoring burnout.”,Gives up quickly,Pushes through sometimes,Recovers fast,Thrives under pressure,work|competitions|social_proof,sjt|reflection,1,active,intern|analyst|associate
composure,Composure,soft_skill,broad skills ,en,calmness|poise|control|steadiness,"Stays calm, clear, and constructive in high-pressure situations.",Not “emotionless.”,Panics/escalates,Sometimes steady,Usually calm,Stabilizes others,work|social_proof,sjt|peerfeedback,1,active,intern|coordinator|associate
discipline,Discipline,work_style,broad skills ,en,diligence|consistency|focus|habit,Sustains productive routines and avoids procrastination reliably.,Not “micromanagement.”,Chronically unfocused,Mixed consistency,Strong routine,Exceptional consistency,work|academic,timelog|workstyle,1,active,intern|assistant|developer
organization,Organization,work_style,broad skills ,en,structure|order|planning|system,"Keeps tasks, files, notes, and commitments structured and easy to track.",Not “neat desk aesthetics.”,"Chaos, lost items",Basic organization,Clear systems,Highly scalable systems,work|portfolio,worksample|workstyle,1,active,intern|coordinator|assistant
timeboxing,Timeboxing,work_style,broad skills ,en,scheduling|planning|cadence|blocking,Plans work into realistic time blocks and manages focus/interruptions.,Not “working faster” only.,No time planning,Plans sometimes,Plans consistently,Optimizes throughput reliably,work|academic,timelog|workstyle,1,active,intern|analyst|developer
teamwork,Teamwork,soft_skill,broad skills ,en,collaboration|cooperation|coordination|partnership,"Works effectively with others: shares context, supports, and co-delivers.",Not “being agreeable always.”,Blocks collaboration,Participates when asked,Actively collaborates,Elevates whole team,work|competitions|social_proof,peerfeedback|sjt,1,active,intern|assistant|associate
empathy,Empathy,soft_skill,broad skills ,en,understanding|compassion|awareness|sensitivity,Understands others’ perspectives and adapts communication accordingly.,Not “people-pleasing.”,Dismisses others,Sometimes considerate,Usually considerate,Deeply perceptive,work|social_proof,sjt|peerfeedback,1,active,intern|coordinator|marketer
diplomacy,Diplomacy,soft_skill,broad skills ,en,tact|manners|negotiation|smoothness,Handles disagreement and sensitive topics with tact and alignment.,Not “avoiding conflict.”,Creates friction,Mixed tact,Usually tactful,Resolves conflicts smoothly,work|social_proof,sjt|roleplay,1,active,intern|associate|coordinator
integrity,Integrity,soft_skill,broad skills ,en,honesty|ethics|principles|trust,"Acts honestly and ethically, even when inconvenient.",Not “rule-following blindly.”,Misleads/cheats,Sometimes bends truth,Consistently honest,Trusted with sensitive info,work|academic|social_proof,sjt,1,active,intern|analyst|assistant
judgment,Judgment,soft_skill,broad skills ,en,discernment|sense|reasoning|wisdom,Makes sound decisions with limited info; knows when to escalate.,Not “IQ” or “seniority.”,Poor choices,Ok with guidance,Good independent calls,Excellent under ambiguity,work|portfolio|assessments,sjt|caseprompt,1,active,intern|analyst|associate
autonomy,Autonomy,work_style,broad skills ,en,independence|selfsufficiency|selfreliance|initiative,"Works independently, unblocks self, and seeks help at the right time.",Not “working alone” or “ignoring feedback.”,Needs constant help,Some independence,Mostly self-sufficient,Fully autonomous impact,work|portfolio,worksample|workstyle,1,active,intern|developer|analyst
resourcefulness,Resourcefulness,soft_skill,broad skills ,en,ingenuity|scrappiness|improvise|adapt,Finds solutions with limited resources; uses tools/people creatively.,Not “cutting corners.”,Gets stuck easily,Solves with help,Usually finds a way,Solves hard constraints fast,work|portfolio|competitions,caseprompt|worksample,1,active,intern|startup|generalist
attentiveness,Attentiveness,work_style,broad skills ,en,focus|listening|care|presence,"Pays attention to instructions, context, and details that matter.",Not “perfectionism.”,Misses key info,Catches some details,Rarely misses,Anticipates hidden issues,work|academic,worksample|peerfeedback,1,active,intern|assistant|analyst
clarity,Clarity,soft_skill,broad skills ,en,succinctness|directness|precision|lucidity,"Communicates ideas in a clear, structured, low-ambiguity way.",Not “being talkative.”,Confusing messages,Sometimes clear,Usually crisp,Crystal-clear always,work|portfolio|assessments,writing|presentation,1,active,intern|analyst|marketer
availability,Availability,constraint,broad skills ,en,schedule|startdate|hours|commitment,Practical ability to work during the needed period (dates/hours).,Not “motivation” or “work ethic.”,Not available,Partially available,Matches most needs,Fully flexible fit,work,formcheck,1,active,intern|assistant|analyst
